,token,lemma,pos,tag,dep,is_sentence_start,is_sentence_end
77,ἁμαρτίας,ἁμαρτία,NOUN,Nb,obj,False,False
78,αὐτῶν,αὐτός,PRON,Pp,det,False,True
79,καὶ,καί,CCONJ,C-,cc,True,False
80,ἦν,εἰμί,AUX,V-,cop,False,False
81,ὁ,ὁ,DET,S-,det,False,False
82,Ἰωάννης,ἰωάν(ν)ης,PROPN,Ne,nsubj:pass,False,False
83,ἐνδεδυμένος,ἐνδύω,VERB,V-,ROOT,False,False
84,τρίχας,θρίξ,NOUN,Nb,obj,False,False
85,καμήλου,κάμηλος,NOUN,Nb,nmod,False,False
86,καὶ,καί,CCONJ,C-,cc,False,False
87,ζώνην,ζώνη,NOUN,Nb,conj,False,False
88,δερματίνην,δερμάτινος,ADJ,A-,amod,False,False
89,περὶ,περί,ADP,R-,case,False,False
90,τὴν,ὁ,DET,S-,det,False,False
91,ὀσφὺν,ὀσφῦς,NOUN,Nb,nmod,False,False
92,αὐτοῦ,αὐτός,PRON,Pp,det,False,False
93,καὶ,καί,CCONJ,C-,cc,False,False
94,ἐσθίων,ἐσθίω,VERB,V-,conj,False,False
95,ἀκρίδας,ἀκρίς,NOUN,Nb,obj,False,False
96,καὶ,καί,CCONJ,C-,cc,False,False
97,μέλι,μέλι,NOUN,Nb,conj,False,False
98,ἄγριον,ἄγριος,ADJ,A-,amod,False,True
99,Καὶ,καί,CCONJ,C-,cc,True,False
100,ἐκήρυσσεν,κηρύσσω,VERB,V-,ROOT,False,False
101,λέγων,λέγω,VERB,V-,advcl,False,True
102,ἔρχεται,ἔρχομαι,VERB,V-,ROOT,True,False
103,ὁ,ὁ,DET,S-,det,False,False
104,ἰσχυρότερός,ἰσχυρός,ADJ,A-,nsubj,False,False
105,μου,ἐγώ,PRON,Pp,iobj,False,False
106,ὀπίσω,ὀπίσω,ADP,R-,case,False,False
107,μου,ἐγώ,PRON,Pp,obl,False,False
108,οὗ,ὅς,PRON,Pr,dep,False,False
109,οὐκ,οὐ,ADV,Df,advmod,False,False
110,εἰμὶ,εἰμί,AUX,V-,cop,False,False
111,ἱκανὸς,ἱκανός,ADJ,A-,appos,False,False
112,κύψας,κύπτω,VERB,V-,advcl,False,False
113,λῦσαι,λύω,VERB,V-,ccomp,False,False
114,τὸν,ὁ,DET,S-,det,False,False
115,ἱμάντα,ἱμάς,NOUN,Nb,obj,False,False
116,τῶν,ὁ,DET,S-,det,False,False
117,ὑποδημάτων,ὑπόδημα,NOUN,Nb,nmod,False,False
118,αὐτοῦ.,αὐτοῦ.,PRON,Pp,cc,False,False
119,ἐγὼ,ἐγώ,PRON,Pp,nsubj,True,False
120,ἐβάπτισα,βαπτίζω,VERB,V-,ROOT,False,False
121,ὑμᾶς,ὑμεῖς,PRON,Pp,obj,False,False
122,ὕδατι,ὕδωρ,NOUN,Nb,obl,False,False
123,αὐτὸς,αὐτός,ADJ,Pd,nsubj,True,False
124,δὲ,δέ,ADV,Df,discourse,False,False
125,βαπτίσει,βαπτίζω,VERB,V-,ROOT,False,False
126,ὑμᾶς,ὑμεῖς,PRON,Pp,obj,False,False
127,ἐν,ἐν,ADP,R-,case,False,False
128,πνεύματι,πνεῦμα,NOUN,Nb,obl,False,False
129,ἁγίῳ.,ἁγίῳ.,ADJ,A-,amod,False,False
130,Καὶ,καί,CCONJ,C-,cc,True,False
131,ἐγένετο,γίγνομαι,VERB,V-,ROOT,False,False
132,ἐν,ἐν,ADP,R-,case,False,False
